,rgi_id,t_star,mu_star,prcp_fac,bias,err_perc
0,RGI50-11.00536-0,,36.75,1.6500000000000004,0.0002093857522715733,-0.2847337202997731
0,RGI50-11.00536-1,,18.0,0.8500000000000002,0.002706063404469266,-1.0236095364818554
0,RGI50-11.00539-0,,20.75,1.0500000000000005,2.010646493374757e-06,-0.006235587819608921
0,RGI50-11.00539-1,,20.0,1.5500000000000005,0.05249999735624125,-1.0076023701787045
0,RGI50-11.00558,,3.0,0.35000000000000003,0.7421287158224045,-12.112892704025242
0,RGI50-11.00596,,14.75,1.8500000000000003,0.00012403133875257382,-0.05215142022146362
0,RGI50-11.00621-0,,42.25,1.5500000000000005,0.0001091274496052718,-0.040628533193979965
0,RGI50-11.00621-1,,36.0,1.8500000000000003,0.003124745611389338,-0.2174059741376907
0,RGI50-11.00621-2,,10.25,0.15000000000000002,5.0880740865633275e-08,-0.0008772853030072846
0,RGI50-11.00621-3,,30.25,2.0500000000000003,0.001229761411866899,-0.13638750078303738
0,RGI50-11.00633,,44.75,1.7500000000000004,0.0014795303275306198,-0.13032242372258945
0,RGI50-11.00638,,36.75,0.6500000000000001,4.4404938577855814e-05,-0.05599750477272033
0,RGI50-11.00685,,58.5,1.3500000000000003,9.863270621346134e-05,-0.04990904071943618
0,RGI50-11.00695-0,,47.75,1.0500000000000005,3.57458264951978e-05,-0.026282668170211826
0,RGI50-11.00695-1,,34.75,0.7500000000000002,0.002666573616196266,-0.22700403105445335
0,RGI50-11.00695-2,,46.0,0.5,0.00016155112241446432,-0.0558742581874636
0,RGI50-11.00695-3,,73.25,1.4500000000000004,0.2981759397889268,-2.40045229100496
0,RGI50-11.00723,,9.25,0.35000000000000003,1.1021830063115034e-05,-0.01670397064162112
0,RGI50-11.00734,,17.5,0.35000000000000003,0.0039067855138807134,-0.36181929935876656
0,RGI50-11.00752,,79.0,1.7500000000000004,0.1368141349019293,-1.8987882334885091
0,RGI50-11.00761-1,,75.0,2.5500000000000003,0.3060830031851421,-2.6880171363954752
0,RGI50-11.00765-0,,65.5,1.2500000000000002,0.0006744657640185943,-0.16013367062612854
0,RGI50-11.00765-1,,42.5,0.7500000000000002,0.000397608749056124,-0.12295060496563275
0,RGI50-11.00775,,47.5,0.5500000000000002,0.000442409225599541,-0.14740714996404994
0,RGI50-11.00777,,19.75,0.35000000000000003,0.002034508071937319,-0.23198848698162294
0,RGI50-11.00781,,67.75,1.2500000000000002,0.009254452041572532,-0.6147754510871387
0,RGI50-11.00785,,62.5,1.6500000000000004,0.0013252550563923082,-0.1365237305336847
0,RGI50-11.00790,,73.75,1.3500000000000003,0.05292826792284542,-1.3548168176133553
